timestamp,temperature,humidity,pressure,rain_mm,rain_analog,battery_pct
2023-06-27 00:00:00,25.6,92,1007.2,0.0,1001,96
2023-06-27 01:00:00,25.5,93,1006.6,0.0,964,97
2023-06-27 02:00:00,25.4,94,1005.9,0.0,1021,98
2023-06-27 03:00:00,25.2,95,1005.2,0.0,1010,96
2023-06-27 04:00:00,25.0,96,1005.3,0.0,970,91
2023-06-27 05:00:00,24.8,99,1005.9,0.0,973,97
2023-06-27 06:00:00,24.6,100,1006.7,0.0,952,97
2023-06-27 07:00:00,26.0,95,1007.0,0.0,971,91
2023-06-27 08:00:00,27.5,86,1007.6,0.0,1002,95
2023-06-27 09:00:00,28.8,79,1008.0,0.0,951,99
2023-06-27 10:00:00,29.9,75,1007.8,0.0,979,90
2023-06-27 11:00:00,30.7,72,1007.4,0.1,987,96
2023-06-27 12:00:00,31.2,72,1007.0,0.1,951,99
2023-06-27 13:00:00,31.6,71,1005.8,0.2,541,91
2023-06-27 14:00:00,31.2,72,1004.7,0.1,1009,94
2023-06-27 15:00:00,30.6,73,1004.7,0.1,970,96
2023-06-27 16:00:00,29.5,75,1004.9,3.1,260,99
2023-06-27 17:00:00,27.2,84,1005.8,2.2,157,98
2023-06-27 18:00:00,26.9,85,1006.3,0.1,971,90
2023-06-27 19:00:00,26.7,89,1006.2,0.1,998,98
2023-06-27 20:00:00,26.5,88,1007.6,0.9,408,94
2023-06-27 21:00:00,26.6,87,1008.0,0.2,519,95
2023-06-27 22:00:00,26.3,90,1009.0,0.0,1009,97
2023-06-27 23:00:00,26.3,89,1009.3,0.4,620,91
2023-06-28 00:00:00,26.0,90,1008.8,1.4,539,96
2023-06-28 01:00:00,25.6,94,1008.4,0.0,1011,93
2023-06-28 02:00:00,25.6,94,1007.7,0.0,996,98
2023-06-28 03:00:00,25.5,93,1007.3,0.0,1011,95
2023-06-28 04:00:00,26.0,89,1007.4,0.0,1000,96
2023-06-28 05:00:00,25.8,91,1007.5,0.0,1004,95
2023-06-28 06:00:00,25.9,92,1007.8,0.0,1013,97
2023-06-28 07:00:00,26.5,91,1008.3,0.0,952,95
2023-06-28 08:00:00,27.2,86,1008.7,0.0,1000,96
2023-06-28 09:00:00,28.8,82,1009.5,0.0,956,97
2023-06-28 10:00:00,29.8,80,1008.8,0.2,370,90
2023-06-28 11:00:00,30.5,76,1008.4,0.1,1022,99
2023-06-28 12:00:00,31.0,73,1007.5,0.2,516,93
2023-06-28 13:00:00,31.0,69,1006.4,0.0,967,95
2023-06-28 14:00:00,31.5,65,1005.2,0.0,953,90
2023-06-28 15:00:00,28.1,76,1005.8,2.7,188,93
2023-06-28 16:00:00,26.3,91,1005.9,2.4,159,95
2023-06-28 17:00:00,26.6,89,1005.8,0.2,363,96
2023-06-28 18:00:00,26.8,89,1006.7,0.4,591,95
2023-06-28 19:00:00,26.6,88,1007.3,0.2,614,93
